review,rating,date,bank,source,sentiment_label,sentiment_score,theme_categories,review_id
ok,1,2025-05-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997851252555848,Other,64
Fantastic,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998743534088136,Other,65
accessible to using,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999116837978363,Account Access Issues,66
I like it,4,2025-05-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.99985933303833,Other,67
good,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,68
why you change default network?,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9962357878684998,Other,69
very nice 👍,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999857783317566,Other,70
nice fast app,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999833345413208,Other,71
best,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,Other,72
how to I get my money,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9934091567993164,Other,73
"Very bad, can't even load they need to improve their services.",1,2025-05-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.999816596508026,Customer Support,74
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.964985489845276,Other,75
very busy I don't know why... I prefer 889,3,2025-05-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9991938471794128,Other,76
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9966771602630616,Other,77
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9986202716827391,Other,78
hojii bonsaadha,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9568662047386168,Other,79
ok,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997851252555848,Other,80
user-friendly apps.because this app is easy.,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.955450713634491,Other,81
Awosome!!!,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.6944891810417175,Other,82
"Very good app,",5,2025-05-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998691082000732,Other,83
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.992516815662384,Customer Support,84
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997020363807678,Other,85
I hate this app 😒,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996378421783448,Other,86
trustful,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998213648796082,Other,87
I like,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998149275779724,Other,88
update issue,4,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.5473247170448303,Features,89
its not working over safari network,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9991377592086792,Other,90
oldie,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6663163304328918,Other,91
it doesn't work,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997813105583192,Other,92
best,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,Other,93
"This app is good, and we are using it well",1,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999855637550354,Other,94
ok,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997851252555848,Other,95
best app,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999686598777771,Other,96
very nice 👌 app for android phone,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9994401335716248,Other,97
good app,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,Other,98
Yes Yes,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997482895851136,Other,99
በጣም ከርፋፋ,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.7850591540336609,Other,100
easy to use helpful in my life,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9981144666671752,Customer Support,101
good 👍,4,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998576641082764,Other,102
the best mobile banking app,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998278617858888,Other,103
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9992597699165344,Other,104
it's a good application 👍,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998123049736024,Other,105
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997513890266418,Other,106
poor service,1,2025-05-20,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.999653458595276,Customer Support,107
amazing,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999875545501709,Other,108
it is reliable and easy to use.,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998389482498168,Other,109
the most annoying mobile banking app I've ever seen,1,2025-05-20,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9994208812713624,Other,110
Cbe mobile banking,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8304283022880554,Other,111
"i can't make Screenshout in this app, please made modification",5,2025-05-20,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9966920614242554,Other,112
Best app I loved it,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999849796295166,Other,113
nice app,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998061060905457,Other,114
wow,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999592125415802,Other,115
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6448792219161987,Other,116
well satisfied with this beautiful app,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999858856201172,Other,117
very good,4,2025-05-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998520612716676,Other,118
best app.,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999774158000946,Other,119
good,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,120
"not working,why???",5,2025-05-17,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9995881915092468,Other,121
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9841780066490172,Other,122
excellent,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998434782028198,Other,123
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996201992034912,Other,124
woxe harimo ribiso,5,2025-05-16,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9374372959136964,Other,125
good,5,2025-05-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,126
"Good ,easy to use",5,2025-05-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998592138290404,Other,127
Good app,5,2025-05-15,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,Other,128
Good job👍,5,2025-05-14,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998576641082764,Other,129
good,5,2025-05-14,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,130
nice,5,2025-05-14,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,Other,131
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9939066767692566,Account Access Issues;Security;Features,132
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9474119544029236,Account Access Issues;Features,133
customer service is bad nothing is good about this bank,1,2025-05-13,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996613264083862,Customer Support,134
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.992915153503418,Other,135
fast and simple easy to use 👌,5,2025-05-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.998494267463684,Other,136
The fastest transferring app I ever had its so reliable,5,2025-05-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9844427704811096,Transaction Performance,137
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9986681938171388,Account Access Issues;Transaction Performance,138
it's easy and fast,5,2025-05-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9995684027671814,Other,139
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9960438013076782,Other,140
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999572217464447,Account Access Issues;Customer Support,141
wow best application ever,5,2025-05-09,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997984766960144,Other,142
good,5,2025-05-09,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,143
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997019171714784,Other,144
Best,4,2025-05-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,Other,145
the pride of Ethiopian bank 🏦,5,2025-05-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999118983745575,Other,146
why the app telling me to turn of developer options please fix it.,1,2025-05-07,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9990994930267334,Other,147
good,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,148
ok,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997851252555848,Other,149
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9976927042007446,Transaction Performance,150
good,3,2025-05-06,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,151
amazing apps,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998716115951538,Other,152
All service of Mobile Banking,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8924252986907959,Customer Support,153
needs improvement,1,2025-05-06,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9966731071472168,Features,154
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.995843231678009,Other,155
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9984410405158995,Transaction Performance,156
good but these week not oky,4,2025-05-06,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9554156064987184,Other,157
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.99980491399765,User Interface & Experience,158
Good app,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,Other,159
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9975224137306212,Features,160
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8991116285324097,Transaction Performance,161
CBE mobilr bankg,5,2025-05-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8703052997589111,Other,162
wow,1,2025-05-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999592125415802,Other,163
verygood,3,2025-05-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9988996982574464,Other,164
ممتاز جدا,5,2025-05-04,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8031745553016663,Other,165
it's very low quality application,1,2025-05-04,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996594190597534,Other,166
Very Amazing Apps,5,2025-05-04,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998774528503418,Other,167
አዛ,1,2025-05-04,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970566511154175,Other,168
wow simple life,5,2025-05-04,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997076392173768,Other,169
it's nice,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998672008514404,Other,170
Why stacked sometimes,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9941052198410034,Other,171
good app,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,Other,172
nice,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,Other,173
okay 👍 but sometimes busy,1,2025-05-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8515537977218628,Other,174
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997990727424622,Other,175
Very good app. but disappointed by general cessation of system.,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.998118817806244,Other,176
excellent,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998434782028198,Other,177
good,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,178
Good and fast,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998561143875122,Other,179
Unreliable!,1,2025-05-02,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997379183769226,Other,180
Best the best fast,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998427629470824,Other,181
good app,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,Other,182
happy,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.99987530708313,Other,183
fast and reliable,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998595714569092,Other,184
network errorrrrrr,2,2025-05-02,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9978076815605164,Other,185
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9982808828353882,Other,186
its good and simple to use,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998610019683838,Other,187
worest app like that bank for security and network access,1,2025-05-02,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9927296042442322,Account Access Issues;Security,188
it's the best app i,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999834418296814,Other,189
not bad not good,1,2025-05-02,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9715350866317748,Other,190
its very nice,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998526573181152,Other,191
do not work this week,3,2025-04-30,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.99776029586792,Other,192
It crashes frequently,4,2025-04-30,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9993256330490112,Other,193
the best,5,2025-04-28,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998332262039183,Other,194
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8382592797279358,Other,195
goid,5,2025-04-28,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.7086985111236572,Other,196
best appearance,5,2025-04-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9996986389160156,Other,197
it's very good 👍 app,5,2025-04-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999859094619751,Other,198
I need support you,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9881443977355956,Customer Support,199
the worst Mobile banking i have ever seen in my life,1,2025-04-26,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997807145118712,Other,200
super,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.998783528804779,Other,201
ጠጀጨገጀ።ጀገ,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8337253928184509,Other,202
i like the app,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9994398951530457,Other,203
the Best,1,2025-04-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998332262039183,Other,204
nice,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,Other,205
good,5,2025-04-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,206
to other bank is bad,1,2025-04-25,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997149109840392,Other,207
tank's,5,2025-04-25,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9855977892875672,Other,208
its good but add more features such like. bank statement showing,5,2025-04-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9881664514541626,Features,209
it is so nice,5,2025-04-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998714923858644,Other,210
good,5,2025-04-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999816119670868,Other,211
Very Good👍,5,2025-04-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8243634104728699,Other,212
